Title,Composition,Price,Image,Timestamp,SKU,Link,Type
Dazy Star Solid Round Neck Thermal Tee,"92% Polyester, 8% Elastane",8.49,https://img.ltwebstatic.com/images3_pi/2023/10/21/12/169788204060c6c673bacd3456120cb91ec26e0447_thumbnail_220x293.jpg,2023-11-13 05:40:59.009227,sz2310168751399099,https://us.shein.com/Dazy-Star-Solid-Round-Neck-Thermal-Tee-p-25077369-cat-1738.html,Tee
Solid Ruched Crop Tee,"95% Polyester, 5% Elastane",7.59,https://img.ltwebstatic.com/images3_pi/2023/10/13/a6/169712664504255eb73b1be57dc77589c8fa4ea96e_thumbnail_220x293.jpg,2023-11-15 01:34:53.842847,sz2309285919116310,https://us.shein.com/Solid-Ruched-Crop-Tee-p-24751234-cat-1738.html,Tee
Gigot Sleeve Button Detail Tee,"85% Polyester, 15% Viscose",10.99,https://img.ltwebstatic.com/images3_pi/2023/10/14/c1/169721304279893673634566c38ee9860994554999_thumbnail_220x293.jpg,2023-11-15 00:37:16.055803,sz2310071829994121,https://us.shein.com/Gigot-Sleeve-Button-Detail-Tee-p-24628153-cat-1738.html,Tee
SHEIN LUNE Button Detail Ruched Side Tee,100% Polyester,9.49,https://img.ltwebstatic.com/images3_pi/2023/09/29/29/16959168919fea1618d6c4c643c160c7eb1812869c_thumbnail_220x293.jpg,2023-11-13 14:26:46.275126,sz2309276332611156,https://us.shein.com/SHEIN-LUNE-Button-Detail-Ruched-Side-Tee-p-24044450-cat-1738.html,Tee
4pcs Solid Mock Neck Tee,"95% Polyester, 5% Elastane, 95% Polyester, 5% Elastane, 95% Polyester, 5% Elastane, 95% Polyester, 5% Elastane",24.49,https://img.ltwebstatic.com/images3_pi/2023/10/10/f6/16969153561b0588b5c024ecc39f97cc2ecd184998_thumbnail_220x293.jpg,2023-11-13 06:17:19.081280,sz2309285366324652,https://us.shein.com/4pcs-Solid-Mock-Neck-Tee-p-24368500-cat-1738.html,Tee
SHEIN Essnce 3pcs Solid Ruched Side Crop Tee,"95% Polyester, 5% Elastane",14.49,https://img.ltwebstatic.com/images3_pi/2023/11/09/ca/1699520521646de2672160c0b55d25adbcb930be38_thumbnail_220x293.jpg,2023-11-13 06:25:04.405657,sz2310134335630337,https://us.shein.com/SHEIN-Essnce-3pcs-Solid-Ruched-Side-Crop-Tee-p-25416330-cat-1738.html,Tee
SHEIN Essnce 4pcs Solid Tank Top,"93% Polyester, 7% Elastane",12.99,https://img.ltwebstatic.com/images3_pi/2023/10/10/7b/16969431957b7d32727154cba4138c9e53b0bd45f4_thumbnail_220x293.jpg,2023-11-13 18:10:15.996167,sz2310054849866063,https://us.shein.com/SHEIN-Essnce-4pcs-Solid-Tank-Top-p-24412493-cat-1779.html,Top
SHEIN Privé Two Tone Ruched Tee,"95% Polyester, 5% Elastane",8.99,https://img.ltwebstatic.com/images3_pi/2023/10/24/fd/169815020487a2e0d80a656bf5de2823b87b6eba39_thumbnail_220x293.jpg,2023-11-13 01:06:11.371174,sz2309044744963656,https://us.shein.com/SHEIN-Priv-Two-Tone-Ruched-Tee-p-25252498-cat-1738.html,Tee
SHEIN Essnce 3pcs Button Front Ribbed Knit Tee,"95% Polyester, 5% Elastane",21.99,https://img.ltwebstatic.com/images3_pi/2023/10/07/63/16966568172b7f2a55069d9e4cba3abb27b185a988_thumbnail_220x293.jpg,2023-11-13 05:41:23.794648,sz2309273640750204,https://us.shein.com/SHEIN-Essnce-3pcs-Button-Front-Ribbed-Knit-Tee-p-24404241-cat-1738.html,Tee
DAZY Half Button Ribbed Knit Tee,"90% Polyester, 10% Elastane",7.99,https://img.ltwebstatic.com/images3_pi/2023/10/13/c5/16971875424d8c92327f0ba49015f8f79f07121697_thumbnail_220x293.jpg,2023-11-13 17:42:52.668336,sz2308162871507177,https://us.shein.com/DAZY-Half-Button-Ribbed-Knit-Tee-p-24629328-cat-1738.html,Tee
Plaid Print Drop Shoulder Flap Pocket Shirt,100% Polyester,15.49,https://img.ltwebstatic.com/images3_pi/2023/10/17/6d/1697512194976f77a91502e2607024147059633a57_thumbnail_220x293.jpg,2023-11-13 04:50:08.157730,sz2309078888842895,https://us.shein.com/Plaid-Print-Drop-Shoulder-Flap-Pocket-Shirt-p-24739273-cat-1733.html,Shirt
SHEIN Frenchy Solid Lace Trim Crop Tee,"96% Polyester, 4% Elastane",5.99,https://img.ltwebstatic.com/images3_pi/2023/11/08/da/169941602460f427d18c6566360546f177ca052778_thumbnail_220x293.jpg,2023-11-16 00:15:23.416312,sz2310103552355858,https://us.shein.com/SHEIN-Frenchy-Solid-Lace-Trim-Crop-Tee-p-25864162-cat-1738.html,Tee
SHEIN Frenchy Turtleneck Split Hem Tee,"60% Polyester, 35% Viscose, 5% Elastane",8.99,https://img.ltwebstatic.com/images3_pi/2023/10/23/3b/169803798281da6c0b5f95c46878fdc87160bc5f63_thumbnail_220x293.jpg,2023-11-13 17:20:45.500898,sz2309169276619318,https://us.shein.com/SHEIN-Frenchy-Turtleneck-Split-Hem-Tee-p-25096639-cat-1738.html,Tee
Jacquard Button Front Shirt,100% Polyester,11.99,https://img.ltwebstatic.com/images3_pi/2023/10/30/3b/16986362209b8c0512d77682f14b184a9a42f70160_thumbnail_220x293.jpg,2023-11-13 18:00:24.051289,sz2310209179452480,https://us.shein.com/Jacquard-Button-Front-Shirt-p-25554905-cat-1733.html,Shirt
SHEIN Essnce Contrast Collar Ribbed Knit Tee,"95% Polyester, 5% Elastane",8.49,https://img.ltwebstatic.com/images3_pi/2023/10/27/e6/1698386525c21db807358c9e740012a2bba67d19c2_thumbnail_220x293.jpg,2023-11-14 01:51:01.205182,sz2310122823096787,https://us.shein.com/SHEIN-Essnce-Contrast-Collar-Ribbed-Knit-Tee-p-25447568-cat-1738.html,Tee
SHEIN LUNE 4pcs Mock Neck Ribbed Knit Tee,"96% Polyester, 4% Elastane",19.99,https://img.ltwebstatic.com/images3_pi/2023/10/19/fb/1697715247aedfe949825868ccea297aa8ffa2783a_thumbnail_220x293.jpg,2023-11-15 00:15:31.041825,sz2308311471434485,https://us.shein.com/SHEIN-LUNE-4pcs-Mock-Neck-Ribbed-Knit-Tee-p-24961931-cat-1738.html,Tee
SHEIN Frenchy Mock Neck Ribbed Knit Tee,"60% Polyester, 35% Viscose, 5% Elastane",8.49,https://img.ltwebstatic.com/images3_pi/2023/10/19/b1/169770406870dff37d202d600bff2ffb811e880c40_thumbnail_220x293.jpg,2023-11-16 01:42:52.500948,sz2310178303977333,https://us.shein.com/SHEIN-Frenchy-Mock-Neck-Ribbed-Knit-Tee-p-25221862-cat-1738.html,Tee
SHEIN LUNE Solid Batwing Sleeve Tee,"92% Polyester, 8% Elastane",,https://img.ltwebstatic.com/images3_pi/2023/10/17/ba/16975059073c65fdb2cf00ca57a5013ea1c59b1c94_thumbnail_220x293.jpg,2023-11-14 00:13:23.161106,sz2309274282862008,https://us.shein.com/SHEIN-LUNE-Solid-Batwing-Sleeve-Tee-p-24743643-cat-1738.html,Tee
Dazy Star Kpop Solid Round Neck Tee,"92% Polyester, 8% Elastane",7.99,https://img.ltwebstatic.com/images3_pi/2023/10/28/db/169845789699ecc1001de249cc8f9dec432bfdf9ce_thumbnail_220x293.jpg,2023-11-16 00:48:00.514310,sz2310163376416688,https://us.shein.com/Dazy-Star-Kpop-Solid-Round-Neck-Tee-p-25504005-cat-1738.html,Tee
SHEIN Essnce 4pcs Solid Mock Neck Ribbed Knit Tee,"95% Polyester, 5% Elastane",21.99,https://img.ltwebstatic.com/images3_pi/2023/10/16/0b/1697422264949a2b874a96cf847654cd4743a4fe21_thumbnail_220x293.jpg,2023-11-13 17:29:19.794303,sz2309212039906886,https://us.shein.com/SHEIN-Essnce-4pcs-Solid-Mock-Neck-Ribbed-Knit-Tee-p-24987947-cat-1738.html,Tee
SHEIN Essnce 3pcs Mock Neck Solid Tee,"100% Polyester, 100% Polyester, 100% Polyester",,https://img.ltwebstatic.com/images3_pi/2023/10/04/90/169640587429e45bbf7bef8a6795c164bfddc86e49_thumbnail_220x293.jpg,2023-11-14 01:46:01.197806,sz2309265590788988,https://us.shein.com/SHEIN-Essnce-3pcs-Mock-Neck-Solid-Tee-p-24210757-cat-1738.html,Tee
SHEIN LUNE Solid Mock Neck Thermal Lined Tee,"95% Polyester, 5% Elastane",10.49,https://img.ltwebstatic.com/images3_pi/2023/10/21/16/1697878559e72db66a45bd87632d9d2261f3c35fc0_thumbnail_220x293.jpg,2023-11-13 00:53:17.736721,sz2310111136191658,https://us.shein.com/SHEIN-LUNE-Solid-Mock-Neck-Thermal-Lined-Tee-p-25083845-cat-1738.html,Tee
SHEIN Essnce 3pcs Solid Scoop Neck Crop Tee,"96% Polyester, 4% Elastane, 96% Polyester, 4% Elastane",,https://img.ltwebstatic.com/images3_pi/2023/10/19/24/1697694912f684eecb42ffe4654aab3e4187a617d6_thumbnail_220x293.jpg,2023-11-14 01:17:05.149391,sz2308242715867335,https://us.shein.com/SHEIN-Essnce-3pcs-Solid-Scoop-Neck-Crop-Tee-p-24180405-cat-1738.html,Tee
DAZY Kpop Button Front Ribbed Knit Tee,"90% Polyester, 10% Elastane",8.49,https://img.ltwebstatic.com/images3_pi/2023/10/16/8a/1697421135fcbcdd2cb0e2201c6aa0e76aaf2c659b_thumbnail_220x293.jpg,2023-11-15 01:36:01.392407,sz2308315969913967,https://us.shein.com/DAZY-Kpop-Button-Front-Ribbed-Knit-Tee-p-24656006-cat-1738.html,Tee
SHEIN LUNE 2pcs Solid Mock Neck Thermal Tee,"95% Polyester, 5% Elastane, 95% Polyester, 5% Elastane",19.49,https://img.ltwebstatic.com/images3_pi/2023/10/30/cf/169865662307be6bf21eecee3bef65d8fb4e4918b6_thumbnail_220x293.jpg,2023-11-13 17:33:19.116872,sz2310080888968519,https://us.shein.com/SHEIN-LUNE-2pcs-Solid-Mock-Neck-Thermal-Tee-p-25690097-cat-1738.html,Tee
SHEIN LUNE Solid Drop Shoulder Tee,100% Polyester,7.99,https://img.ltwebstatic.com/images3_pi/2023/10/11/07/169702271106f2d2e9ce514830950fcc620a13fb17_thumbnail_220x293.jpg,2023-11-15 00:41:47.649612,sz2309251777217013,https://us.shein.com/SHEIN-LUNE-Solid-Drop-Shoulder-Tee-p-24483389-cat-1738.html,Tee
